unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT,tradecount
1.63814E+12,11/28/2021 23:00,ETH/USDT,4226.03,4301.07,4224.24,4296.6,115589.994,494628005.4,143722
1.63814E+12,11/28/2021 22:00,ETH/USDT,4253.88,4292.43,4220.85,4226.04,109026.656,464294186.1,155448
1.63813E+12,11/28/2021 21:00,ETH/USDT,4138.52,4260.8,4133,4253.54,142454.326,597992635.2,169222
1.63813E+12,11/28/2021 20:00,ETH/USDT,4101.16,4148,4101,4138.53,60239.063,248623863.9,75883
1.63813E+12,11/28/2021 19:00,ETH/USDT,4051.61,4131.1,4043.7,4100.65,96093.381,393502380.1,118172
1.63812E+12,11/28/2021 18:00,ETH/USDT,4037.08,4057.18,3958.58,4051.6,121259.938,487052083.1,157983
1.63812E+12,11/28/2021 17:00,ETH/USDT,4070.36,4083.76,4018,4037.08,60335.754,244135662.1,84747
1.63812E+12,11/28/2021 16:00,ETH/USDT,4079.02,4090.86,4042.48,4070.36,44585.293,181182106.5,65872
1.63811E+12,11/28/2021 15:00,ETH/USDT,4084.21,4090.11,4063.25,4079.01,26687.725,108822570.3,50134
1.63811E+12,11/28/2021 14:00,ETH/USDT,4081.82,4097.31,4045.35,4084.75,47124.272,191971170.7,79163
1.6381E+12,11/28/2021 13:00,ETH/USDT,4096,4104.76,4072.05,4081.96,34168.417,139508920.3,59117
1.6381E+12,11/28/2021 12:00,ETH/USDT,4097.87,4116.58,4070.01,4096,48556.362,198696521.4,69566
1.6381E+12,11/28/2021 11:00,ETH/USDT,4109.65,4133.22,4087.7,4097.86,53188.796,218569183.8,80293
1.63809E+12,11/28/2021 10:00,ETH/USDT,4067.14,4125,4053.42,4109.71,66505.135,272448444.3,97235
1.63809E+12,11/28/2021 9:00,ETH/USDT,4059.13,4071.18,4034,4067.24,41279.693,167296414.7,60344
1.63809E+12,11/28/2021 8:00,ETH/USDT,4069.86,4082.73,4048.28,4059.12,33580.937,136388070.2,52102
1.63808E+12,11/28/2021 7:00,ETH/USDT,4070.08,4081,4057.5,4069.87,30345.323,123444349.3,46169
1.63808E+12,11/28/2021 6:00,ETH/USDT,4054.62,4078.99,4031.48,4070.09,39460.213,160128333.9,55919
1.63808E+12,11/28/2021 5:00,ETH/USDT,4021.58,4055.4,4014.26,4054.63,35467.183,143252911.8,56932
1.63807E+12,11/28/2021 4:00,ETH/USDT,4027.06,4041.42,4007.56,4021.59,44647.487,179714133.4,72425
1.63807E+12,11/28/2021 3:00,ETH/USDT,4051.46,4062.99,4012.01,4027.05,47081.135,190003724.4,83036
1.63806E+12,11/28/2021 2:00,ETH/USDT,4032.73,4053.79,3980,4051.45,109742.42,440853770.4,150496
1.63806E+12,11/28/2021 1:00,ETH/USDT,4078.46,4083.48,4022.9,4032.75,53977.299,218461363.6,81087
1.63806E+12,11/28/2021 0:00,ETH/USDT,4095.33,4097.69,4041.09,4078.56,51421.588,209516290,78353
1.63805E+12,11/27/2021 23:00,ETH/USDT,4115.07,4117.54,4058,4095.33,41553.85,169794352.7,64312
1.63805E+12,11/27/2021 22:00,ETH/USDT,4079.23,4122.58,4078.86,4115.07,38706.612,158770305.1,70759
1.63805E+12,11/27/2021 21:00,ETH/USDT,4054.14,4093.58,4032.01,4079.23,60866.478,246810196.5,100848
1.63804E+12,11/27/2021 20:00,ETH/USDT,4115.24,4129.37,4046,4054.09,58167.187,237536343.4,99354
1.63804E+12,11/27/2021 19:00,ETH/USDT,4130,4132.56,4113.9,4115.24,15765.717,65018460.12,37525
1.63804E+12,11/27/2021 18:00,ETH/USDT,4135.5,4145.82,4111.57,4130.01,26979.147,111332205,53881
1.63803E+12,11/27/2021 17:00,ETH/USDT,4136.18,4153,4126.72,4135.5,24900.573,103052857.5,50495
1.63803E+12,11/27/2021 16:00,ETH/USDT,4131.54,4160.81,4123.02,4136.17,49733.372,206165332.3,75225
1.63803E+12,11/27/2021 15:00,ETH/USDT,4115.57,4141.61,4104.2,4131.53,39413.407,162511107.4,66180
1.63802E+12,11/27/2021 14:00,ETH/USDT,4137.6,4155.98,4112.02,4115.59,33777.499,139664987.1,64523
1.63802E+12,11/27/2021 13:00,ETH/USDT,4124.89,4158.66,4116.8,4137.6,42875.316,177645494.6,67983
1.63801E+12,11/27/2021 12:00,ETH/USDT,4111.97,4134.09,4105,4124.89,34103.639,140518025.1,56737
1.63801E+12,11/27/2021 11:00,ETH/USDT,4134.73,4153.4,4110,4111.97,36423.043,150436284.8,61845
1.63801E+12,11/27/2021 10:00,ETH/USDT,4128.61,4156.24,4103.55,4134.73,51150.031,211025900.4,81762
1.638E+12,11/27/2021 9:00,ETH/USDT,4160.59,4163.92,4126.03,4128.62,40012.26,165834163.7,69331
1.638E+12,11/27/2021 8:00,ETH/USDT,4122.7,4182.66,4122.62,4160.58,93982.6,390963904.7,121730
1.638E+12,11/27/2021 7:00,ETH/USDT,4096.21,4126.64,4091.79,4122.69,29355.772,120703611.1,53222
1.63799E+12,11/27/2021 6:00,ETH/USDT,4088.28,4114.55,4085.49,4096.21,30093.689,123370057.3,57294
1.63799E+12,11/27/2021 5:00,ETH/USDT,4132.08,4141.29,4087.45,4088.31,33036.164,135956352.8,58265
1.63799E+12,11/27/2021 4:00,ETH/USDT,4113.75,4146.44,4106.3,4132.09,39482.064,162919982.4,58789
1.63798E+12,11/27/2021 3:00,ETH/USDT,4113.23,4148.7,4096.33,4113.82,56651.183,233736912.7,87297
1.63798E+12,11/27/2021 2:00,ETH/USDT,4090.08,4124,4084.53,4113.22,39825.365,163572676.4,70109
1.63797E+12,11/27/2021 1:00,ETH/USDT,4069.69,4096,4053.85,4090.72,29339.036,119592615.9,56189
1.63797E+12,11/27/2021 0:00,ETH/USDT,4040.66,4099,4027.32,4069.69,61815.173,251496017.3,100982
1.63797E+12,11/26/2021 23:00,ETH/USDT,4066.1,4095.92,4026.5,4040.66,62783.971,254581265.6,96375
1.63796E+12,11/26/2021 22:00,ETH/USDT,4064.97,4108.53,4050.12,4066.1,52219.276,213051054,77594
1.63796E+12,11/26/2021 21:00,ETH/USDT,4117.2,4125.33,4060.21,4064.97,45337.534,185817442.3,70028
1.63796E+12,11/26/2021 20:00,ETH/USDT,4081.7,4120.5,4057.93,4117.19,48690.283,198986774.6,71652
1.63795E+12,11/26/2021 19:00,ETH/USDT,4045.12,4092.41,4034,4081.7,34163.319,139086578.4,59099
1.63795E+12,11/26/2021 18:00,ETH/USDT,4071.28,4076.47,4032,4045.12,52508.663,212858635.9,80457
1.63795E+12,11/26/2021 17:00,ETH/USDT,4071.36,4114,4062.52,4071.28,57145.617,233392435.2,86623
1.63794E+12,11/26/2021 16:00,ETH/USDT,4063.11,4102.95,4021.15,4071.36,102821.714,417675621.3,126569
1.63794E+12,11/26/2021 15:00,ETH/USDT,4101.27,4101.27,4050,4063.11,72667.112,295646940.1,105508
1.63794E+12,11/26/2021 14:00,ETH/USDT,4084.66,4123,4063.1,4100.86,119553.403,489496217.8,160385
1.63793E+12,11/26/2021 13:00,ETH/USDT,4050.95,4089.62,4015.02,4084.66,103518.091,419812740.9,135766
1.63793E+12,11/26/2021 12:00,ETH/USDT,3984.3,4052,3911,4050.94,292594.487,1164847687,316010
1.63792E+12,11/26/2021 11:00,ETH/USDT,4051.52,4100.99,3979.29,3984.3,219271.977,884867089,259045
1.63792E+12,11/26/2021 10:00,ETH/USDT,4071.88,4077.41,4033.07,4051.56,130543.94,530005619.5,161197
1.63792E+12,11/26/2021 9:00,ETH/USDT,4098.78,4132.63,4053.16,4071.88,222897.436,911914615.3,281122
1.63791E+12,11/26/2021 8:00,ETH/USDT,4343.51,4343.53,3999,4098.49,568723.242,2359675660,638990
1.63791E+12,11/26/2021 7:00,ETH/USDT,4420.9,4424.62,4315.71,4343.53,136504.183,595016773.3,180116
1.63791E+12,11/26/2021 6:00,ETH/USDT,4434.02,4442.25,4405.29,4421.11,32709.94,144676605.9,65044
1.6379E+12,11/26/2021 5:00,ETH/USDT,4427.17,4437.33,4397.43,4434.02,44264.588,195545221.5,77382
1.6379E+12,11/26/2021 4:00,ETH/USDT,4430.86,4451.63,4406.58,4427.17,58410.008,258475432.7,86648
1.6379E+12,11/26/2021 3:00,ETH/USDT,4462.78,4474.46,4429,4430.64,68917.879,306794738.7,103335
1.63789E+12,11/26/2021 2:00,ETH/USDT,4490.66,4506.2,4456.34,4462.77,45601.876,204528080.2,79582
1.63789E+12,11/26/2021 1:00,ETH/USDT,4502.64,4525.16,4490.09,4490.67,29665.546,133635951.2,59297
1.63788E+12,11/26/2021 0:00,ETH/USDT,4528.2,4555,4494.4,4502.64,55535.984,251183566.3,89686
1.63788E+12,11/25/2021 23:00,ETH/USDT,4521.21,4558.29,4512.64,4527.86,49881.833,226172696.5,87313
1.63788E+12,11/25/2021 22:00,ETH/USDT,4501.56,4521.25,4472,4521.21,27060.225,121621037.9,56373
1.63787E+12,11/25/2021 21:00,ETH/USDT,4513.15,4530,4490.51,4501.57,29973.8,135241122.4,57687
1.63787E+12,11/25/2021 20:00,ETH/USDT,4506.28,4532,4504.29,4513.14,31968.462,144445219.2,59073
1.63787E+12,11/25/2021 19:00,ETH/USDT,4503.43,4517.19,4481.11,4506.36,32310.401,145316996,57597
1.63786E+12,11/25/2021 18:00,ETH/USDT,4522.14,4525.35,4493.02,4503.43,30286.358,136592181.7,58083
1.63786E+12,11/25/2021 17:00,ETH/USDT,4490,4535.03,4490,4522.13,58154.854,262583361.3,89303
1.63786E+12,11/25/2021 16:00,ETH/USDT,4479.29,4513.24,4466.47,4490.01,80254.255,360338020.3,117199
1.63785E+12,11/25/2021 15:00,ETH/USDT,4484.73,4506.19,4460.16,4479.11,66338.076,297179097,103514
1.63785E+12,11/25/2021 14:00,ETH/USDT,4461.53,4490.86,4452.17,4484.73,52317.023,234053905.3,89582
1.63785E+12,11/25/2021 13:00,ETH/USDT,4452.51,4475,4438,4461.52,72926.543,324980950.4,116400
1.63784E+12,11/25/2021 12:00,ETH/USDT,4391,4458.58,4385.38,4452.19,139255.417,616241285.6,167445
1.63784E+12,11/25/2021 11:00,ETH/USDT,4368.88,4398,4358.59,4390.99,62241.138,272721284,98028
1.63783E+12,11/25/2021 10:00,ETH/USDT,4300.71,4384.47,4294.24,4368.88,124849.328,543080767.2,169068
1.63783E+12,11/25/2021 9:00,ETH/USDT,4287.02,4301.76,4274.07,4300.72,37095.39,158985436.8,62487
